extension_id,Name,Remark
kgmeffmlnkfnjpgmdndccklfigfhajen,Emoji keyboard online,GA4 Api Secret
dpdibkjjgbaadnnjhkmmnenkmbnhpobj,Free Weather Forecast,GA4 Api Secret
gaiceihehajjahakcglkhmdbbdclbnlf,Free Weather Forecast,Azure Api Key
mlgbkfnjdmaoldgagamcnommbbnhfnhf,Unlock Discord,AWS Access Key
eckokfcjbjbgjifpcbdmengnabecdakp,Dark Theme,AWS Access Key
mgbhdehiapbjamfgekfpebmhmnmcmemg,Volume Max,Microsoft telemetry ApiKey
cbajickflblmpjodnjoldpiicfmecmif,Unblock TikTok,Google Api Key
pdbfcnhlobhoahcamoefbfodpmklgmjm,Unlock YouTube VPN,Tenor GIF Search Api Key
eokjikchkppnkdipbiggnmlkahcdkikp,Geco colorpick,FIAT RAMP API KEY
ihbiedpeaicgipncdnnkikeehnjiddck,Weather,GA4 Api Secret
jjdajogomggcjifnjgkpghcijgkbcjdi,Unlock TikTok,GA4 Api Secret
mmcnmppeeghenglmidpmjkaiamcacmgm,Volume Booster,Geolocation API key
ojdkklpgpacpicaobnhankbalkkgaafp,Web Sound Equalizer,GA4 Api Secret
lodeighbngipjjedfelnboplhgediclp,Header Value,GA4 Api Secret
hkjagicdaogfgdifaklcgajmgefjllmd,Flash Player,Azure Api Key
gflkbgebojohihfnnplhbdakoipdbpdm,Youtube Unblocked,AWS Access Key
kpilmncnoafddjpnbhepaiilgkdcieaf,SearchGPT,AWS Access Key
caibdnkmpnjhjdfnomfhijhmebigcelo,Unlock Discord,Microsoft telemetry ApiKey
gomekmidlodglbbmalcneegieacbdmki,Avast Online Security & Privacy,Google Api Key
nbmoafcmbajniiapeidgficgifbfmjfo,AVG Online Security,Tenor GIF Search Api Key
hjngolefdpdnooamgdldlkjgmdcmcjnc,Equatio - Math made digital,FIAT RAMP API KEY
nlipoenfbbikpbjkfpfillcgkoblgpmj,Awesome Screen Recorder & Screenshot,GA4 Api Secret
mfpiaehgjbbfednooihadalhehabhcjo,Scrolling screenshot tool & screen capture,GA4 Api Secret
gpaiobkfhnonedkhhfjpmhdalgeoebfa,Microsoft Editor: Spelling & Grammar Checker,Geolocation API key
lmbopdiikkamfphhgcckcjhojnokgfeo,Antidote Connector,GA4 Api Secret
cimpffimgeipdhnhjohpbehjkcdpjolg,Watch2Gether,GA4 Api Secret
egjidjbpglichdcondbcbdnbeeppgdph,Trust Wallet,Azure Api Key
llaficoajjainaijghjlofdfmbjpebpa,"Speed Dial [FVD] - New Tab Page, 3D, Sync",AWS Access Key
lnbmbgocenenhhhdojdielgnmeflbnfb,SellerSprite - Amazon Research Tool,AWS Access Key
coplmfnphahpcknbchcehdikbdieognn,TravelArrow - Your Virtual Travel Agent,Microsoft telemetry ApiKey
